Transaction Amount,MCC,Transaction Type,Cardholder's Country,Merchant's Country,Transaction Currency,Transaction Time,Device Type,Distance (km),Merchant Reputation Score,Transaction Anomaly Score,Day of Week,Transaction Frequency,Credit Limit,Account Age (months),Age,Gender,Income,Fraud
375.16557872851513,5499,Purchase,CA,US,CAD,18.210565494094524,Tablet,52.548923020931745,0.6613393083885826,0.6078979555495466,2,1.54532867495906,1553.5786705145358,74.3726843010449,28,Male,44616.673550965534,0
701.8663498111845,5812,Purchase,UK,US,AUD,13.466873802905841,Desktop,33.13930876965162,0.8648822520488798,0.8863982367618538,4,0.6855122367697947,8802.714473205757,29.749262461612584,43,Male,56313.18801128265,1
732.2619478695937,5812,Withdrawal,US,CA,AUD,7.2054109019438,Tablet,98.00004155993314,0.8603503348085565,0.9960967117024472,3,8.816853172285464,1869.8674562371389,87.25810744655504,47,Female,54135.66829081574,0
599.0598257128396,4121,Purchase,CA,CA,GBP,9.60563408730371,Mobile,31.969568666625047,0.14026816163542855,0.04486716627892462,2,6.282186666065934,5605.643086326264,73.27602067253216,83,Female,174255.30937575584,0
156.8626218019941,5499,Withdrawal,AU,CA,USD,16.557329573721685,Tablet,74.41861072315932,0.4299397477851188,0.7393157589275293,0,2.1483149900602627,6041.885896340165,89.82219604142206,82,Female,159594.48627786522,0
156.83852581586643,5499,Withdrawal,CA,AU,USD,21.746338791450793,Desktop,53.19817999050007,0.09722441792642478,0.989130889106721,6,2.9680292128510466,2243.8963482521335,90.21930635787113,75,Female,172019.94148356607,0
59.02552855603126,4121,Purchase,CA,AU,AUD,3.137436397614591,Tablet,60.85123425253467,0.38959524843862814,0.538231638962098,4,9.76025085680905,9240.343777159114,24.4083763812325,74,Male,149625.68829509564,0
866.3099696291603,5499,Withdrawal,UK,AU,CAD,13.71273527205977,Tablet,39.34805505886262,0.015107445587704382,0.7157020542424309,4,0.5284887758839574,5243.2036956324455,1.0802928089049337,54,Female,132274.56867824006,0
601.5138967314656,5499,Transfer,AU,AU,GBP,6.089500786970819,Tablet,96.48231254722478,0.898273065110127,0.4411105149923318,6,9.94338328464404,2288.0846301435395,44.525589867735775,71,Male,110296.19104882698,0
940.8208670657934,7832,Purchase,AU,UK,CAD,19.23293399701102,Tablet,57.1682326099271,0.7699812579232606,0.9551774777385496,0,1.6555813316528833,8824.666206718097,110.36923667978458,41,Male,60441.54701218267,1
21.563909801506643,5499,Purchase,AU,US,CAD,1.6856953408675457,Mobile,93.778763045879,0.8498022608023537,0.6964580918369042,2,6.784832717871813,6970.639107183489,69.77002677166428,86,Female,144018.961968152,0
799.5164264105847,5499,Withdrawal,UK,CA,USD,16.534938964108076,Desktop,0.7591416173914123,0.7069457300828924,0.8258294453924817,6,3.99339733467691,8887.360637350914,87.572738669377,88,Male,35951.036991520064,1
832.6101981596213,5499,Withdrawal,AU,US,GBP,4.198704328584715,Desktop,57.267058319112095,0.22745811047292064,0.09166641568531397,1,1.524678473552853,4973.646922189734,105.6688701653028,80,Female,107101.69327775294,0
213.12677156759787,5499,Purchase,AU,CA,CAD,14.313250041677502,Desktop,71.71868897252715,0.2593799952211806,0.42212148042193876,2,9.425893605297642,3410.163758482834,108.82093147923895,68,Female,47102.20601606704,0
775.1269720001035,5499,Transfer,CA,US,AUD,20.056622092624607,Tablet,74.50801711622181,0.8585997409695829,0.8723941882015527,6,4.256593015717794,8685.350697562117,63.95399371982184,93,Female,105904.26792709714,1
